PG.ProteinGroups,PG.Genes,Log2FC,Raw_P_Value,FDR_Adjusted_P,Passed_Raw_Threshold,Passed_FDR_Threshold,Significance_Tier
Q15517,CDSN,-0.20137087581628954,0.8007544476786235,0.9627122792436632,False,False,Not Significant
Q15555,MAPRE2,-1.4394882912956073,0.5156757182046735,0.875235068800304,False,False,Not Significant
Q15637,SF1,-0.22943438183781062,0.7724050732744573,0.9604003766957241,False,False,Not Significant
Q15645,TRIP13,1.3888098287741881,0.3910022189557703,0.8477277197949515,False,False,Not Significant
Q15691,MAPRE1,1.2933194228459688,0.3910022189557706,0.8477277197949515,False,False,Not Significant
Q15717,ELAVL1,-0.48064357506089017,0.2774211881548559,0.8477277197949515,False,False,Not Significant
Q15738,NSDHL,-1.346876672710997,0.4507897420109054,0.8570371468528399,False,False,Not Significant
Q15758,SLC1A5,0.2068839181416311,0.9344803016483046,0.9927134057006627,False,False,Not Significant
Q16186,ADRM1,-1.8937774549953825,0.47874082415369934,0.8617393073829654,False,False,Not Significant
Q16527,CSRP2,0.20255818474041565,0.8021163697124533,0.9627122792436632,False,False,Not Significant
Q16555,DPYSL2,-1.6662124379651426,0.1820600923886193,0.8477277197949515,False,False,Not Significant
Q16610,ECM1,-0.08416101395110598,0.973070133447183,0.9993212133993129,False,False,Not Significant
Q16629,SRSF7,-0.7247301884255046,0.31701959924314166,0.8477277197949515,False,False,Not Significant
Q16630,CPSF6,-1.7967926300539752,0.37271277086325044,0.8477277197949515,False,False,Not Significant
Q16637,SMN1,-1.8799307699750862,0.4478195050038206,0.8570371468528399,False,False,Not Significant
Q16643,DBN1,0.6945277833433172,0.7917593108897995,0.9620010739821454,False,False,Not Significant
Q16666,IFI16,-0.09444704588294561,0.9737962709381793,0.9993212133993129,False,False,Not Significant
Q16763,UBE2S,0.6732040051850237,0.7810835941375273,0.9604003766957241,False,False,Not Significant
Q16777;Q6FI13,H2AC20;H2AC18,-1.9107847457618927,0.04187569689833295,0.8477277197949515,True,False,Exploratory (Raw P < 0.05)
Q16795,NDUFA9,-1.8723391356883443,0.3348726976662507,0.8477277197949515,False,False,Not Significant
Q16891,IMMT,-1.5493480561722839,0.3969413900374854,0.8477277197949515,False,False,Not Significant
Q1ED39,KNOP1,-0.5264611956625531,0.403258056156628,0.8477277197949515,False,False,Not Significant
Q2M2I5,KRT24,-2.813583519528212,0.4146854294995493,0.8482577095291921,False,False,Not Significant
Q2NL82,TSR1,-2.1874006531122046,0.20675361201983597,0.8477277197949515,False,False,Not Significant
Q32P41,TRMT5,-1.9849740851301605,0.36785756824490334,0.8477277197949515,False,False,Not Significant
Q3B726,POLR1F,-0.19635945942867084,0.9247355664681889,0.992588799436721,False,False,Not Significant
Q3MHD2,LSM12,-1.4325523661411586,0.4895171685763073,0.8692059417955201,False,False,Not Significant
