PG.ProteinGroups,PG.Genes,Log2FC,Raw_P_Value,FDR_Adjusted_P,Passed_Raw_Threshold,Passed_FDR_Threshold,Significance_Tier
Q16637,SMN1,3.183598459677464,0.09993940793903598,0.36661710269863973,False,False,Not Significant
Q16643,DBN1,-1.8555759647700159,0.43006790854304083,0.6040759344629976,False,False,Not Significant
Q16666,IFI16,-0.23894006895895625,0.9390955105991725,0.9628959036990792,False,False,Not Significant
Q16763,UBE2S,3.1243003620493366,0.18905667717037097,0.44155582390206916,False,False,Not Significant
Q16777;Q6FI13,H2AC20;H2AC18,1.0754788630684313,0.02319761365022279,0.2649017816831893,True,False,Exploratory (Raw P < 0.05)
Q16795,NDUFA9,3.41992020166121,0.1507335499380398,0.44155582390206916,False,False,Not Significant
Q16891,IMMT,3.3213558054624075,0.038894478763079186,0.31175406269954126,True,False,Exploratory (Raw P < 0.05)
Q1ED39,KNOP1,2.4244216675604857,0.23750719101706985,0.4843175991172236,False,False,Not Significant
Q2M2I5,KRT24,10.57396130053955,0.006383339573591631,0.1329236593559669,True,False,Exploratory (Raw P < 0.05)
Q2NL82,TSR1,-1.773873165942602,0.0441016488181878,0.31175406269954126,True,False,Exploratory (Raw P < 0.05)
Q32P41,TRMT5,1.6511850258385294,0.3702127971105697,0.575529253681259,False,False,Not Significant
Q3B726,POLR1F,0.20158985673099683,0.922609530603058,0.9567618924557862,False,False,Not Significant
Q3MHD2,LSM12,1.8497976052561267,0.36680856138961393,0.575529253681259,False,False,Not Significant
Q3ZCM7,TUBB8,3.834202438930291,0.1915329854420743,0.44155582390206916,False,False,Not Significant
Q494W8,CHRFAM7A,2.0718243708236583,0.3910022189557704,0.575529253681259,False,False,Not Significant
Q4VCS5,AMOT,6.738673852545593,0.00011039998413430486,0.017829766248008094,True,True,High Confidence (FDR < 0.05)
Q53GQ0,HSD17B12,1.4154662179791595,0.00812440712789802,0.14940468172861815,True,False,Exploratory (Raw P < 0.05)
Q53GS9,USP39,0.6430232699273573,0.46726695783100364,0.6337643795868785,False,False,Not Significant
Q53H12,AGK,1.3453110135962554,0.5079151758570133,0.6631807133011242,False,False,Not Significant
Q53H96,PYCR3,3.932395060429426,0.08352667021095868,0.3388933095092192,False,False,Not Significant
Q53RT3,ASPRV1,0.29129955604377855,0.6920282371178555,0.7961608393578572,False,False,Not Significant
Q53S58,TMEM177,2.804952611563773,0.1817237419604893,0.44155582390206916,False,False,Not Significant
Q562R1,ACTBL2,-1.6551737310998629,0.39358747322787435,0.5767913588864738,False,False,Not Significant
Q58FF8,HSP90AB2P,0.5001727852574893,0.6055090770343389,0.7328212419492511,False,False,Not Significant
Q5BKZ1,ZNF326,0.4610810176943012,0.5554299603259156,0.6997231528661002,False,False,Not Significant
Q5D862,FLG2,2.2104232423149437,0.001753233525761926,0.0618173840841797,True,False,Exploratory (Raw P < 0.05)
Q5JTH9,RRP12,0.4258693305542627,0.024294472553446803,0.2727068560197081,False,False,Not Significant
Q5QJE6,DNTTIP2,4.128800871574597,0.018263132014180953,0.23731345420377656,True,False,Exploratory (Raw P < 0.05)
Q5SSJ5,HP1BP3,-0.6225584455233388,0.04584115273153256,0.31175406269954126,False,False,Not Significant
Q5T2N8;Q9NVI7,ATAD3C;ATAD3A,4.508862542855913,0.010484228426913938,0.17886346328325464,True,False,Exploratory (Raw P < 0.05)
Q5T3I0,GPATCH4,3.738845627964143,0.06065055154881405,0.31175406269954126,False,False,Not Significant
Q5T4S7,UBR4,2.4482763559895226,0.18600037548954512,0.44155582390206916,False,False,Not Significant
Q5T6V5,QNG1,-1.2662669551852095,0.6228652079046095,0.7452860801034984,False,False,Not Significant
Q5T749,KPRP,0.19806294576773986,0.8293121265663869,0.8948922374905103,False,False,Not Significant
Q5T750,KPLCE,-0.910264284860177,0.4577818154182767,0.6256940643168725,False,False,Not Significant
Q5TEC6,H3-7,2.7920482440361614,0.3987104617890046,0.5789572456910854,False,False,Not Significant
Q5VSY0,GKAP1,4.712222827146535,0.0600725113013968,0.31175406269954126,False,False,Not Significant
Q5VWG9,TAF3,2.0419972532480615,0.19609558610996872,0.4428330520099038,False,False,Not Significant
Q5XKP0,MICOS13,1.0051894930063199,0.6443722834055551,0.760359294418555,False,False,Not Significant
Q66PJ3,ARL6IP4,0.3594502766102625,0.5999587026266328,0.7297259986072151,False,False,Not Significant
Q68D10,SPTY2D1,0.5556763170896417,0.48311783578493356,0.6453725051617603,False,False,Not Significant
Q6DKI1,RPL7L1,2.9375935588087003,0.169152357781306,0.44155582390206916,False,False,Not Significant
Q6KB66,KRT80,0.8504306471867125,0.07931802074009275,0.3322908797868975,False,False,Not Significant
Q6NUJ1,PSAPL1,1.4175292622415245,0.521143347899521,0.6747285501899553,False,False,Not Significant
Q6NZI2,CAVIN1,0.7103669606676897,0.3910022189557705,0.575529253681259,False,False,Not Significant
Q6P158,DHX57,3.163942423585536,0.07746153676703058,0.3286946155597024,False,False,Not Significant
Q6P1J9,CDC73,1.8565698154523247,0.4140047678436919,0.5926675734748619,False,False,Not Significant
Q6P1L8,MRPL14,1.9232572154343472,0.3142772247576269,0.561181021761412,False,False,Not Significant
Q6P1M0,SLC27A4,3.7576117163830562,0.06940588713198,0.3174672444686487,False,False,Not Significant
Q6P1X5,TAF2,-0.039418230073367866,0.9357578882748915,0.961562532508887,False,False,Not Significant
Q6P2I3;Q96GK7,FAHD2B;FAHD2A,0.8729304496899939,0.6037886549708298,0.7322235797488033,False,False,Not Significant
Q6PCB5,RSBN1L,2.7297822532642066,0.19314363997373954,0.44155582390206916,False,False,Not Significant
Q6PEY2,TUBA3E,0.40952267899638706,0.6304647478395196,0.7514630327784173,False,False,Not Significant
Q6PGN9,PSRC1,-0.15501970950283717,0.9563931321155725,0.9735820812909063,False,False,Not Significant
Q6PH81,C16orf87,0.096663188005639,0.8700637552020161,0.9235459350570125,False,False,Not Significant
Q6PI48,DARS2,0.5759808790640459,0.5424619025589834,0.6889022906040543,False,False,Not Significant
Q6PK04,CCDC137,-0.027309816988550395,0.9346035333841523,0.9615473083889641,False,False,Not Significant
Q6UB35,MTHFD1L,2.6799056638968883,0.11479934694296572,0.39940018494162033,False,False,Not Significant
Q6UX82,LYPD8,3.8399333711997823,0.1358643363781534,0.4372361370715118,False,False,Not Significant
Q6YN16,HSDL2,2.2915867845762197,0.1741793500047656,0.44155582390206916,False,False,Not Significant
Q6ZMR3,LDHAL6A,0.6792338935726345,0.16487760658440134,0.44155582390206916,False,False,Not Significant
Q6ZUT1,NKAPD1,0.17631857005731355,0.6154646860258394,0.7391840503923567,False,False,Not Significant
Q71DI3,H3C15,0.5919956013633438,0.38445293500369315,0.575529253681259,False,False,Not Significant
